DID,DID Name,Setup Charge,Rental ,Call Rate,Connection Charge,Minimum Time,Resolution Time,Channels 
441282777711,UK11,2.56,2.56,0,0,1,1,5
441282777712,UK12,2.56,2.56,0,0,1,1,5
441282777713,UK13,2.56,2.56,0,0,1,1,5
441282777714,UK14,2.56,2.56,0,0,1,1,5
441282777715,UK15,2.56,2.56,0,0,1,1,5
441282777716,UK16,2.56,2.56,0,0,1,1,5
441282777717,UK17,2.56,2.56,0,0,1,1,5
441282777718,UK18,2.56,2.56,0,0,1,1,5
441282777719,UK19,2.56,2.56,0,0,1,1,5
441282777720,UK20,2.56,2.56,0,0,1,1,5
441282777721,UK21,2.56,2.56,0,0,1,1,5
441282777722,UK22,2.56,2.56,0,0,1,1,5
441282777723,UK23,2.56,2.56,0,0,1,1,5
441282777724,UK24,2.56,2.56,0,0,1,1,5
441282777725,UK25,2.56,2.56,0,0,1,1,5
441282777726,UK26,2.56,2.56,0,0,1,1,5
441282777727,UK27,2.56,2.56,0,0,1,1,5
441282777728,UK28,2.56,2.56,0,0,1,1,5
441282777729,UK29,2.56,2.56,0,0,1,1,5
441282777730,UK30,2.56,2.56,0,0,1,1,5
441282777731,UK31,2.56,2.56,0,0,1,1,5
441282777732,UK32,2.56,2.56,0,0,1,1,5
441282777733,UK33,2.56,2.56,0,0,1,1,5
