Prefix,Destination,ppm,ppc,minimal,resolution,grace,multiplier,addition,status
93,Afghanistan,0.1232,0,1,1,0,1.5,0,1
9376,Afghanistan Mobile Areeba,0.057757,0,1,1,0,1,0,1
91,India,0.002,0,1,1,1,1,0,1
9211,Pack,0.002,0,1,1,1,1,0,1
9212,Pack,0.002,0,1,1,1,1,0,1
9213,Pack,0.002,0,1,1,1,1,0,1
9214,Pack,0.002,0,1,1,1,1,0,1
9215,Pack,0.002,0,1,1,1,1,0,1
9216,Pack,0.002,0,1,1,1,1,0,1
9217,Pack,0.002,0,1,1,1,1,0,1
9218,Pack,0.002,0,1,1,1,1,0,1
9219,Pack,0.002,0,1,1,1,1,0,1
9220,Pack,0.002,0,1,1,1,1,0,1
9221,Pack,0.002,0,1,1,1,1,0,1
9222,Pack,0.002,0,1,1,1,1,0,1
9223,Pack,0.002,0,1,1,1,1,0,1
9224,Pack,0.002,0,1,1,1,1,0,1
9225,Pack,0.002,0,1,1,1,1,0,1
9226,Pack,0.002,0,1,1,1,1,0,1
9227,Pack,0.002,0,1,1,1,1,0,1
9228,Pack,0.002,0,1,1,1,1,0,1
9229,Pack,0.002,0,1,1,1,1,0,1
9230,Pack,0.002,0,1,1,1,1,0,1
9231,Pack,0.002,0,1,1,1,1,0,1
9232,Pack,0.002,0,1,1,1,1,0,1
9233,Pack,0.002,0,1,1,1,1,0,1
9234,Pack,0.002,0,1,1,1,1,0,1
9235,Pack,0.002,0,1,1,1,1,0,1
9236,Pack,0.002,0,1,1,1,1,0,1
9237,Pack,0.002,0,1,1,1,1,0,1
9238,Pack,0.002,0,1,1,1,1,0,1
9239,Pack,0.002,0,1,1,1,1,0,1
9240,Pack,0.002,0,1,1,1,1,0,1
9241,Pack,0.002,0,1,1,1,1,0,1
9242,Pack,0.002,0,1,1,1,1,0,1
9243,Pack,0.002,0,1,1,1,1,0,1
9244,Pack,0.002,0,1,1,1,1,0,1
9245,Pack,0.002,0,1,1,1,1,0,1
9246,Pack,0.002,0,1,1,1,1,0,1
9247,Pack,0.002,0,1,1,1,1,0,1
9248,Pack,0.002,0,1,1,1,1,0,1
9249,Pack,0.002,0,1,1,1,1,0,1
